home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,home_days_passed,away_days_passed,HOME_WINS,GAME_DATE_EST
2,-3.0,0.4,-6.4,0.7764,0.3626,0.37960000000000005,2,-2.2,-2.2,-0.6,0.7806,0.4194,0.2922,1.0,1.0,1,2003-11-19
3,3.6,-1.2,-0.8,0.8455999999999999,0.38659999999999994,0.3372,1,-4.4,-1.2,-2.2,0.6872,0.4572,0.256,2.0,1.0,1,2003-11-19
1,-4.0,1.6,-3.8,0.8558,0.4112,0.421,3,4.4,-2.4,2.2,0.7112,0.449,0.19799999999999998,2.0,1.0,0,2003-11-19
3,2.4,-7.4,1.0,0.7428,0.4434,0.3388,2,1.2,2.2,-2.6,0.8211999999999999,0.453,0.2666,4.0,1.0,0,2003-11-19
2,-6.2,-6.6,0.4,0.7924,0.40099999999999997,0.3014,2,-2.2,-9.2,-4.0,0.7434000000000001,0.4024,0.253,3.0,2.0,0,2003-11-19
1,-7.8,-2.6,-4.2,0.6638,0.4168,0.3328,3,2.2,5.2,2.4,0.7026,0.4328,0.3034,2.0,1.0,1,2003-11-19
3,2.0,-1.8,1.2,0.6839999999999999,0.3912,0.3136,3,0.2,-0.6,-2.4,0.7586,0.46259999999999996,0.4064,2.0,1.0,0,2003-11-19
2,-0.6,2.4,1.2,0.7908000000000001,0.4468,0.21760000000000002,0,-6.0,-7.6,-3.2,0.7222000000000001,0.434,0.4138,2.0,3.0,1,2003-11-20
4,8.4,2.4,4.2,0.6968,0.4608,0.319,4,11.2,5.4,5.0,0.71,0.4406,0.39399999999999996,3.0,2.0,1,2003-11-20
4,8.8,3.0,9.6,0.8408,0.49379999999999996,0.4258,0,-5.4,-1.2,-4.4,0.7222000000000001,0.43679999999999997,0.3776,2.0,1.0,1,2003-11-21
3,1.2,-4.6,-2.2,0.7534,0.403,0.303,2,-1.4,-7.6,3.2,0.6864,0.3856,0.3102,2.0,2.0,1,2003-11-21
4,2.4,3.4,-3.0,0.7212,0.4433999999999999,0.3767999999999999,4,9.2,3.0,4.2,0.7762,0.43079999999999996,0.421,2.0,2.0,0,2003-11-21
3,3.8,3.6,0.6,0.8152000000000001,0.46979999999999994,0.3522,1,-7.6,3.8,-2.6,0.8844000000000001,0.41340000000000005,0.3836,2.0,2.0,1,2003-11-21
3,8.8,6.0,6.0,0.7256,0.4406,0.356,2,-4.6,-1.8,0.4,0.8597999999999999,0.4526,0.34299999999999997,1.0,3.0,1,2003-11-21
2,-2.8,1.6,1.6,0.6792,0.43760000000000004,0.24219999999999997,3,3.0,2.4,4.0,0.7634000000000001,0.4396,0.3214,2.0,3.0,0,2003-11-21
3,-1.0,2.4,-6.2,0.7878000000000001,0.3654,0.32599999999999996,2,-3.0,-1.2,-3.4,0.6852,0.4048,0.367,2.0,2.0,1,2003-11-21
4,10.6,-2.6,3.6,0.7352000000000001,0.4474,0.19059999999999996,1,-5.0,0.2,-3.4,0.7363999999999999,0.44719999999999993,0.36479999999999996,2.0,3.0,1,2003-11-21
1,-4.2,-0.2,-0.8,0.6712,0.45779999999999993,0.23279999999999998,3,-1.4,5.0,1.0,0.6746000000000001,0.44020000000000004,0.3348,2.0,2.0,1,2003-11-21
3,-4.6,5.4,-5.0,0.7584000000000001,0.45220000000000005,0.32319999999999993,3,0.0,-0.2,-3.2,0.7782,0.384,0.36039999999999994,2.0,2.0,1,2003-11-21
3,-3.0,-8.0,-2.0,0.7506,0.44480000000000003,0.44980000000000003,3,2.6,-5.6,2.0,0.7306,0.45099999999999996,0.3618,3.0,2.0,0,2003-11-21
2,-2.0,9.2,-0.2,0.7352,0.44239999999999996,0.173,2,-2.6,-3.0,0.2,0.7647999999999999,0.4122,0.3482,2.0,2.0,1,2003-11-21
2,0.2,-1.6,2.6,0.778,0.4518,0.2266,2,-4.4,3.2,0.6,0.6736,0.4306,0.31779999999999997,2.0,1.0,1,2003-11-22
4,8.4,3.6,2.2,0.755,0.4546,0.31439999999999996,4,5.8,3.8,0.8,0.7834,0.39059999999999995,0.3546,2.0,1.0,1,2003-11-22
3,4.0,0.4,4.0,0.7889999999999999,0.4324,0.32280000000000003,3,0.0,1.0,-1.6,0.7984,0.4104,0.33859999999999996,1.0,3.0,1,2003-11-22
2,-10.0,-0.6,-3.8,0.8231999999999999,0.41159999999999997,0.29019999999999996,2,-4.6,2.2,1.2,0.7236,0.43,0.24219999999999997,1.0,1.0,1,2003-11-22
2,-2.2,-6.2,3.4,0.763,0.4192,0.3166,1,-10.0,-8.4,-2.2,0.7964,0.3848,0.2688,4.0,3.0,0,2003-11-22
1,-6.6,5.2,-0.2,0.881,0.41180000000000005,0.3422,3,0.2,-1.8,-1.8,0.7598,0.40259999999999996,0.2888,1.0,1.0,1,2003-11-22
4,6.0,5.2,-0.6,0.8099999999999999,0.4688,0.3568,4,7.8,7.2,2.2,0.7012,0.4206,0.37959999999999994,2.0,2.0,0,2003-11-23
2,-3.6,-8.6,-1.2,0.7102,0.44580000000000003,0.44639999999999996,2,-5.8,-4.0,-7.2,0.6834,0.3944,0.35059999999999997,2.0,2.0,1,2003-11-23
4,9.0,-2.6,2.2,0.7608,0.449,0.17779999999999999,4,4.2,-6.0,1.8,0.7140000000000001,0.44279999999999997,0.38,2.0,2.0,1,2003-11-23
4,13.6,3.2,9.8,0.8678000000000001,0.5034,0.45299999999999996,1,-4.8,0.8,-4.6,0.7064,0.43200000000000005,0.3936,2.0,2.0,1,2003-11-23
2,-9.2,-5.0,-2.2,0.8099999999999999,0.3882,0.28979999999999995,1,-5.0,-6.4,-2.0,0.8146000000000001,0.4162,0.3362,1.0,2.0,0,2003-11-23
1,-2.6,2.0,0.0,0.6609999999999999,0.4619999999999999,0.3494,3,-3.8,2.2,-4.0,0.7892,0.42919999999999997,0.31239999999999996,2.0,2.0,1,2003-11-23
